,Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Arena,Attend.,Attend./G,Year
472,Sacramento Kings,27,55,25,57,-5.59,-0.25,-5.83,100.8,106.9,-6.1,92.1,0.314,0.121,0.502,0.464,14.3,30.2,0.215,ARCO Arena (II),605443.0,15136.075,1998
473,Dallas Mavericks,20,62,24,58,-6.11,-0.22,-6.33,100.5,107.2,-6.7,89.9,0.257,0.175,0.498,0.458,13.6,27.6,0.194,Reunion Arena,503936.0,12598.4,1998
474,Los Angeles Clippers,17,65,21,61,-7.37,-0.16,-7.53,103.3,111.2,-7.9,92.4,0.306,0.219,0.518,0.477,14.8,29.6,0.221,Los Angeles Memorial Sports Arena,254840.0,6371.0,1998
475,Vancouver Grizzlies,19,63,22,60,-7.3,-0.17,-7.47,104.1,112.0,-7.9,92.1,0.327,0.137,0.527,0.482,15.8,31.5,0.242,General Motors Place,660457.0,16511.425,1998
476,Toronto Raptors,16,66,17,65,-9.27,0.94,-8.33,101.2,111.0,-9.8,92.6,0.302,0.159,0.504,0.462,15.1,32.1,0.217,SkyDome,674685.0,16867.125,1998
477,Golden State Warriors,19,63,17,65,-9.12,-0.08,-9.2,95.8,105.7,-9.9,91.4,0.278,0.101,0.468,0.427,15.1,33.7,0.197,The Arena in Oakland,444922.0,11123.05,1998
478,Denver Nuggets,11,71,12,70,-11.78,0.04,-11.74,99.0,112.1,-13.1,89.7,0.335,0.139,0.496,0.44,15.1,30.2,0.259,McNichols Sports Arena,380590.0,9514.75,1998
479,San Antonio Spurs,37,13,39,11,8.06,-0.94,7.12,104.0,95.0,9.0,88.6,0.371,0.137,0.523,0.479,14.6,30.4,0.259,Alamodome,527357.0,13183.925,1999
480,Utah Jazz,37,13,37,13,6.52,-0.99,5.54,105.8,98.4,7.4,87.0,0.417,0.107,0.545,0.485,16.0,30.0,0.32,Delta Center,493120.0,12328.0,1999
481,Portland Trail Blazers,35,15,36,14,6.36,-0.69,5.67,104.8,97.7,7.1,89.2,0.341,0.171,0.521,0.473,14.5,31.8,0.253,Rose Garden Arena,486556.0,12163.9,1999
482,Miami Heat,33,17,35,15,4.96,0.15,5.11,104.7,98.9,5.8,84.8,0.354,0.226,0.54,0.494,15.3,27.3,0.26,Miami Arena,378813.0,9470.325,1999
483,Indiana Pacers,33,17,32,18,3.74,0.12,3.86,108.7,104.4,4.3,86.4,0.318,0.207,0.537,0.486,12.8,28.7,0.253,Market Square Arena,404536.0,10113.4,1999
484,Detroit Pistons,29,21,32,18,3.42,0.55,3.97,104.2,100.3,3.9,86.3,0.345,0.183,0.528,0.48,15.6,30.5,0.256,The Palace of Auburn Hills,444585.0,11114.625,1999
485,Atlanta Hawks,31,19,31,19,2.9,-0.08,2.82,100.5,97.1,3.4,85.3,0.378,0.171,0.492,0.436,14.5,33.1,0.277,Georgia Dome,331831.0,8295.775,1999
486,Los Angeles Lakers,31,19,30,20,3.02,-0.35,2.68,107.6,104.3,3.3,91.6,0.382,0.174,0.538,0.498,14.1,30.6,0.261,Great Western Forum,430007.0,10750.175,1999
487,Orlando Magic,33,17,30,20,2.6,0.51,3.11,100.3,97.4,2.9,88.8,0.318,0.171,0.498,0.456,15.4,32.6,0.222,Orlando Arena,411091.0,10277.275,1999
488,Houston Rockets,31,19,29,21,2.32,-0.93,1.39,105.4,102.9,2.5,88.8,0.313,0.241,0.545,0.506,15.8,27.8,0.228,Compaq Center,407125.0,10178.125,1999
489,Phoenix Suns,27,23,29,21,2.26,-0.11,2.15,105.8,103.3,2.5,90.0,0.303,0.175,0.526,0.481,13.0,28.4,0.231,America West Arena,472283.0,11807.075,1999
490,Philadelphia 76ers,28,22,29,21,2.06,0.5,2.56,99.9,97.6,2.3,88.6,0.383,0.096,0.494,0.439,15.3,34.2,0.276,First Union Center,436444.0,10911.1,1999
491,Milwaukee Bucks,28,22,28,22,1.66,0.0,1.66,104.9,103.0,1.9,87.0,0.303,0.162,0.53,0.489,14.3,29.0,0.222,Bradley Center,381948.0,9548.7,1999
492,New York Knicks,27,23,27,23,1.02,0.43,1.45,98.6,97.5,1.1,86.9,0.329,0.159,0.509,0.463,15.9,27.9,0.241,Madison Square Garden (IV),494075.0,12351.875,1999
493,Minnesota Timberwolves,25,25,26,24,0.38,-0.55,-0.17,101.9,101.5,0.4,91.0,0.264,0.095,0.481,0.439,11.7,32.5,0.196,Target Center,427974.0,10699.35,1999
494,Charlotte Hornets,26,24,25,25,-0.1,0.73,0.63,102.3,102.4,-0.1,89.7,0.372,0.198,0.537,0.485,15.5,24.4,0.278,Charlotte Coliseum,480807.0,12020.175,1999
495,Sacramento Kings,27,23,24,26,-0.42,-0.47,-0.89,102.7,103.1,-0.4,96.0,0.3,0.219,0.514,0.479,14.7,30.6,0.205,ARCO Arena (II),418751.0,10468.775,1999
496,Seattle SuperSonics,25,25,23,27,-1.08,-0.35,-1.43,105.0,106.2,-1.2,89.6,0.341,0.226,0.519,0.481,14.3,31.9,0.232,KeyArena at Seattle Center,426800.0,10670.0,1999
497,Toronto Raptors,23,27,22,28,-1.64,0.33,-1.32,102.0,103.9,-1.9,88.8,0.338,0.168,0.504,0.45,15.0,33.8,0.257,Air Canada Centre,439190.0,10979.75,1999
498,Boston Celtics,19,31,22,28,-1.86,0.11,-1.75,100.4,102.4,-2.0,91.5,0.259,0.182,0.501,0.469,14.8,30.6,0.179,FleetCenter,440602.0,11015.05,1999
499,Cleveland Cavaliers,22,28,22,28,-1.72,0.78,-0.94,99.6,101.6,-2.0,86.4,0.381,0.15,0.52,0.464,15.9,25.1,0.285,Gund Arena,352992.0,8824.8,1999
500,Washington Wizards,18,32,21,29,-2.24,0.49,-1.75,101.2,103.7,-2.5,89.8,0.302,0.146,0.507,0.468,14.1,28.2,0.213,MCI Center,402481.0,10062.025,1999
501,Dallas Mavericks,19,31,21,29,-2.4,-0.1,-2.5,102.3,104.9,-2.6,89.0,0.3,0.148,0.502,0.459,13.2,29.8,0.218,Reunion Arena,362837.0,9070.925,1999
502,Golden State Warriors,21,29,20,30,-2.5,-0.13,-2.63,98.4,101.1,-2.7,88.9,0.282,0.135,0.471,0.434,14.1,35.2,0.19,The Arena in Oakland,335837.0,8395.925,1999
503,New Jersey Nets,16,34,18,32,-3.78,0.58,-3.2,99.5,103.6,-4.1,91.5,0.301,0.163,0.485,0.434,13.7,31.1,0.231,Continental Airlines Arena,400387.0,10009.675,1999
504,Denver Nuggets,14,36,14,36,-6.6,-0.07,-6.67,103.1,110.4,-7.3,90.5,0.332,0.231,0.511,0.459,13.9,30.1,0.253,McNichols Sports Arena,296965.0,7424.125,1999
505,Vancouver Grizzlies,8,42,11,39,-8.66,-0.28,-8.94,98.4,107.9,-9.5,89.0,0.367,0.118,0.498,0.447,16.0,30.9,0.263,General Motors Place,417966.0,10449.15,1999
506,Los Angeles Clippers,9,41,11,39,-8.82,-0.12,-8.94,100.0,109.7,-9.7,89.5,0.306,0.167,0.497,0.454,14.9,30.6,0.22,Los Angeles Memorial Sports Arena,256568.0,6414.2,1999
507,Chicago Bulls,13,37,9,41,-9.46,0.88,-8.58,92.4,103.0,-10.6,88.1,0.309,0.159,0.47,0.424,15.1,26.8,0.219,United Center,560012.0,14000.3,1999
508,Los Angeles Lakers,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,9.1,93.3,0.346,0.153,0.525,0.484,12.7,30.6,0.241,STAPLES Center,771420.0,19285.5,2000
509,Portland Trail Blazers,59,23,59,23,6.4,-0.04,6.36,107.9,100.8,7.1,89.9,0.316,0.175,0.546,0.501,14.5,30.3,0.24,Rose Garden Arena,835078.0,20876.95,2000
510,San Antonio Spurs,53,29,58,24,5.94,-0.02,5.92,105.0,98.6,6.4,90.8,0.346,0.138,0.535,0.488,14.3,27.8,0.258,Alamodome,884450.0,22111.25,2000
511,Phoenix Suns,53,29,56,26,5.22,0.02,5.24,104.6,99.0,5.6,94.0,0.286,0.184,0.532,0.491,15.2,29.3,0.217,America West Arena,773115.0,19327.875,2000
512,Utah Jazz,55,27,54,28,4.46,0.05,4.52,107.3,102.3,5.0,89.6,0.337,0.134,0.54,0.49,14.3,29.5,0.26,Delta Center,801268.0,20031.7,2000
513,Indiana Pacers,56,26,54,28,4.6,-0.45,4.15,108.5,103.6,4.9,93.1,0.302,0.224,0.552,0.503,13.3,24.9,0.245,Conseco Fieldhouse,752145.0,18803.625,2000
514,Miami Heat,52,30,50,32,3.11,-0.36,2.75,104.5,101.0,3.5,89.7,0.283,0.186,0.533,0.495,14.5,28.2,0.208,AmericanAirlines Arena,706725.0,17668.125,2000
515,Sacramento Kings,44,38,49,33,2.91,0.12,3.04,105.0,102.1,2.9,99.3,0.277,0.227,0.526,0.486,13.9,27.7,0.209,ARCO Arena (II),720033.0,18000.825,2000
516,Charlotte Hornets,49,33,49,33,2.67,-0.34,2.33,104.3,101.4,2.9,93.9,0.376,0.153,0.53,0.475,13.7,25.7,0.285,Charlotte Coliseum,732827.0,18320.675,2000
517,Minnesota Timberwolves,50,32,48,34,2.52,0.14,2.67,106.1,103.4,2.7,91.8,0.256,0.104,0.525,0.485,12.9,29.4,0.2,Target Center,690012.0,17250.3,2000
518,New York Knicks,50,32,46,36,1.46,-0.16,1.3,102.5,100.9,1.6,89.2,0.283,0.147,0.527,0.482,14.4,24.7,0.221,Madison Square Garden (IV),810103.0,20252.575,2000
519,Detroit Pistons,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,1.5,95.7,0.378,0.184,0.548,0.492,14.3,26.8,0.295,The Palace of Auburn Hills,678470.0,16961.75,2000
520,Philadelphia 76ers,49,33,45,37,1.34,-0.32,1.02,101.5,100.0,1.5,92.7,0.329,0.095,0.501,0.457,14.2,31.4,0.233,First Union Center,756956.0,18923.9,2000
521,Seattle SuperSonics,45,37,44,38,0.95,0.22,1.17,105.6,104.6,1.0,93.4,0.282,0.232,0.52,0.487,12.9,28.5,0.196,KeyArena at Seattle Center,615730.0,15393.25,2000
522,Orlando Magic,41,41,43,39,0.68,-0.26,0.43,102.4,101.7,0.7,97.3,0.305,0.124,0.516,0.473,15.4,31.6,0.224,TD Waterhouse Centre,576409.0,14410.225,2000
523,Milwaukee Bucks,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,0.3,92.7,0.29,0.157,0.539,0.494,13.8,30.0,0.228,Bradley Center,628605.0,15715.125,2000
524,Toronto Raptors,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,-0.2,92.5,0.3,0.17,0.511,0.464,12.7,30.1,0.23,Air Canada Centre,756496.0,18912.4,2000
525,Dallas Mavericks,40,42,39,43,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,0.248,0.188,0.532,0.49,12.6,25.5,0.2,Reunion Arena,606177.0,15154.425,2000
526,Boston Celtics,35,47,39,43,-0.76,-0.24,-1.0,104.8,105.6,-0.8,94.6,0.316,0.183,0.52,0.474,13.8,30.4,0.236,FleetCenter,683608.0,17090.2,2000
527,Houston Rockets,34,48,39,43,-0.87,0.3,-0.57,104.8,105.7,-0.9,94.2,0.322,0.244,0.536,0.494,15.8,29.1,0.236,Compaq Center,624594.0,15614.85,2000
528,New Jersey Nets,31,51,38,44,-1.04,-0.15,-1.18,105.1,106.3,-1.2,92.5,0.297,0.2,0.517,0.468,12.6,28.1,0.233,Continental Airlines Arena,643631.0,16090.775,2000
529,Denver Nuggets,35,47,35,47,-2.12,0.36,-1.76,103.5,105.8,-2.3,94.7,0.306,0.202,0.517,0.476,14.0,29.2,0.222,Pepsi Center,637698.0,15942.45,2000
530,Washington Wizards,29,53,32,50,-3.28,-0.19,-3.47,103.5,107.0,-3.5,92.7,0.315,0.133,0.521,0.476,14.8,30.6,0.234,MCI Center,616593.0,15414.825,2000
531,Cleveland Cavaliers,32,50,31,51,-3.5,-0.14,-3.64,100.4,104.0,-3.6,95.7,0.327,0.136,0.516,0.468,15.6,28.1,0.245,Gund Arena,603702.0,15092.55,2000
532,Atlanta Hawks,28,54,26,56,-5.38,-0.04,-5.41,102.0,107.9,-5.9,91.7,0.292,0.12,0.503,0.46,14.1,31.7,0.217,Philips Arena,600954.0,15023.85,2000
533,Vancouver Grizzlies,22,60,25,57,-5.62,0.52,-5.1,102.3,108.5,-6.2,91.0,0.32,0.139,0.524,0.474,15.8,30.1,0.247,General Motors Place,569864.0,14246.6,2000
534,Golden State Warriors,19,63,20,62,-8.27,0.64,-7.63,99.8,108.4,-8.6,95.4,0.301,0.15,0.484,0.444,13.9,32.6,0.21,The Arena in Oakland,509171.0,12729.275,2000
535,Chicago Bulls,17,65,15,67,-9.4,0.17,-9.23,94.2,104.6,-10.4,89.4,0.338,0.167,0.49,0.443,18.0,29.9,0.24,United Center,907064.0,22676.6,2000
536,Los Angeles Clippers,15,67,13,69,-11.52,0.8,-10.73,97.8,110.1,-12.3,93.9,0.27,0.188,0.499,0.458,14.9,26.1,0.202,STAPLES Center,559714.0,13992.85,2000
537,San Antonio Spurs,58,24,63,19,7.76,0.16,7.92,106.6,98.0,8.6,89.6,0.374,0.175,0.541,0.496,13.6,27.1,0.267,Alamodome,913176.0,22273.0,2001
538,Sacramento Kings,55,27,57,25,5.82,0.25,6.07,105.6,99.6,6.0,94.4,0.298,0.194,0.529,0.484,13.4,27.2,0.23,ARCO Arena (II),709997.0,17317.0,2001
539,Utah Jazz,53,29,55,27,4.7,0.31,5.0,107.6,102.4,5.2,89.8,0.363,0.135,0.546,0.497,15.1,30.2,0.273,Delta Center,792196.0,19322.0,2001
540,Philadelphia 76ers,56,26,54,28,4.28,-0.65,3.64,103.6,98.9,4.7,90.6,0.351,0.124,0.518,0.468,14.7,31.2,0.262,First Union Center,805692.0,19651.0,2001
541,Portland Trail Blazers,50,32,53,29,4.2,0.33,4.52,106.5,101.8,4.7,89.1,0.296,0.165,0.539,0.497,14.8,30.0,0.225,Rose Garden Arena,831376.0,20277.0,2001
542,Dallas Mavericks,53,29,53,29,4.28,0.32,4.61,107.1,102.6,4.5,93.2,0.291,0.202,0.544,0.498,13.1,24.1,0.231,Reunion Arena,680238.0,16591.0,2001
543,Milwaukee Bucks,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,4.2,92.1,0.276,0.218,0.542,0.499,12.8,28.1,0.217,Bradley Center,683125.0,16662.0,2001
544,Los Angeles Lakers,56,26,51,31,3.38,0.37,3.74,108.4,104.8,3.6,91.7,0.349,0.191,0.535,0.498,13.3,31.1,0.238,STAPLES Center,776336.0,18935.0,2001
545,New York Knicks,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,3.0,86.7,0.279,0.18,0.523,0.476,14.6,24.2,0.222,Madison Square Garden (IV),810283.0,19763.0,2001
546,Miami Heat,50,32,48,34,2.29,-0.57,1.73,101.1,98.5,2.6,87.1,0.299,0.221,0.515,0.469,13.7,24.3,0.227,AmericanAirlines Arena,678186.0,16541.0,2001
547,Toronto Raptors,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,2.5,90.9,0.285,0.167,0.51,0.468,12.1,30.8,0.213,Air Canada Centre,793256.0,19348.0,2001
548,Houston Rockets,45,37,48,34,2.29,0.42,2.71,106.7,104.2,2.5,90.4,0.321,0.217,0.538,0.492,14.0,27.5,0.244,Compaq Center,518555.0,12648.0,2001
549,Charlotte Hornets,46,36,48,34,2.1,-0.65,1.45,101.8,99.5,2.3,89.4,0.33,0.151,0.506,0.457,13.7,29.8,0.246,Charlotte Coliseum,615424.0,15010.0,2001
550,Phoenix Suns,51,31,48,34,2.21,0.42,2.63,100.3,98.0,2.3,93.1,0.292,0.156,0.506,0.46,14.1,27.3,0.221,America West Arena,737586.0,17990.0,2001
551,Minnesota Timberwolves,47,35,45,37,1.35,0.46,1.81,105.2,103.7,1.5,91.8,0.253,0.131,0.523,0.482,13.0,28.6,0.199,Target Center,717371.0,17497.0,2001
552,Orlando Magic,43,39,44,38,0.99,-0.6,0.39,103.2,102.1,1.1,93.2,0.301,0.196,0.513,0.474,13.8,29.1,0.215,TD Waterhouse Centre,605031.0,14757.0,2001
553,Seattle SuperSonics,44,38,41,41,0.02,0.52,0.55,105.6,105.6,0.0,91.6,0.299,0.176,0.53,0.491,14.3,29.1,0.219,KeyArena at Seattle Center,640847.0,15630.0,2001
554,Indiana Pacers,41,41,40,42,-0.2,-0.57,-0.77,102.0,102.2,-0.2,89.4,0.312,0.18,0.519,0.471,14.5,27.0,0.239,Conseco Fieldhouse,731800.0,17849.0,2001
555,Detroit Pistons,32,50,36,46,-1.7,-0.39,-2.08,100.0,101.8,-1.8,94.7,0.325,0.162,0.498,0.453,14.2,29.3,0.234,The Palace of Auburn Hills,607323.0,14813.0,2001
556,Boston Celtics,36,46,35,47,-2.13,-0.26,-2.4,101.4,103.7,-2.3,92.6,0.338,0.252,0.521,0.473,14.7,25.3,0.25,FleetCenter,629201.0,15346.0,2001
557,Denver Nuggets,40,42,34,48,-2.46,0.64,-1.83,103.7,106.3,-2.6,92.6,0.286,0.21,0.511,0.47,12.8,28.3,0.211,Pepsi Center,619300.0,15105.0,2001
558,Los Angeles Clippers,31,51,32,50,-2.89,0.66,-2.23,101.3,104.5,-3.2,89.6,0.319,0.164,0.514,0.476,14.9,28.3,0.221,STAPLES Center,601587.0,14673.0,2001
559,Cleveland Cavaliers,30,52,28,54,-4.24,-0.23,-4.48,100.3,104.9,-4.6,91.2,0.312,0.101,0.509,0.459,15.4,29.7,0.239,Gund Arena,650775.0,15873.0,2001
560,New Jersey Nets,26,56,26,56,-5.05,-0.25,-5.3,100.0,105.5,-5.5,91.8,0.328,0.165,0.504,0.452,13.9,25.7,0.249,Continental Airlines Arena,556573.0,13575.0,2001
561,Atlanta Hawks,25,57,26,56,-5.21,-0.34,-5.55,98.7,104.3,-5.6,91.9,0.272,0.14,0.5,0.456,15.5,28.9,0.206,Philips Arena,560330.0,13667.0,2001
562,Vancouver Grizzlies,23,59,25,57,-5.73,0.79,-4.94,99.6,105.8,-6.2,91.7,0.289,0.145,0.51,0.464,14.9,26.1,0.223,General Motors Place,563218.0,13737.0,2001
563,Washington Wizards,19,63,23,59,-6.67,-0.08,-6.75,100.6,107.8,-7.2,92.7,0.348,0.131,0.514,0.46,15.7,29.7,0.264,MCI Center,638653.0,15577.0,2001
564,Golden State Warriors,17,65,17,65,-9.05,0.94,-8.11,97.8,107.4,-9.6,94.1,0.282,0.134,0.47,0.429,13.9,33.3,0.199,The Arena in Oakland,591981.0,14439.0,2001
565,Chicago Bulls,15,67,16,66,-9.1,0.01,-9.09,97.2,107.3,-10.1,89.3,0.298,0.148,0.495,0.45,15.1,26.6,0.22,United Center,888654.0,21674.0,2001
566,Sacramento Kings,61,21,61,21,7.61,0.0,7.61,109.0,101.1,7.9,95.6,0.308,0.166,0.539,0.497,12.4,27.9,0.231,ARCO Arena (II),709997.0,17317.0,2002
567,Los Angeles Lakers,58,24,60,22,7.12,0.03,7.15,109.4,101.7,7.7,92.1,0.313,0.21,0.534,0.498,11.8,28.8,0.218,STAPLES Center,778777.0,18995.0,2002
568,San Antonio Spurs,58,24,59,23,6.21,0.07,6.28,106.5,99.7,6.8,90.0,0.353,0.19,0.539,0.492,13.8,27.2,0.262,Alamodome,906390.0,22107.0,2002
569,New Jersey Nets,52,30,53,29,4.16,-0.49,3.67,104.0,99.5,4.5,91.8,0.28,0.175,0.515,0.476,13.4,29.2,0.206,Continental Airlines Arena,564194.0,13761.0,2002
570,Dallas Mavericks,57,25,53,29,4.26,0.16,4.41,112.2,107.7,4.5,92.8,0.288,0.237,0.553,0.507,11.3,26.1,0.232,American Airlines Center,802783.0,19580.0,2002
571,Minnesota Timberwolves,50,32,51,31,3.38,0.2,3.58,109.0,105.3,3.7,90.5,0.255,0.152,0.532,0.49,12.5,31.3,0.203,Target Center,731673.0,17846.0,2002
572,Portland Trail Blazers,49,33,50,32,2.99,0.22,3.21,107.4,104.0,3.4,89.3,0.285,0.198,0.528,0.485,13.5,31.8,0.218,Rose Garden Arena,797821.0,19459.0,2002
573,Seattle SuperSonics,45,37,50,32,3.02,0.22,3.24,108.9,105.6,3.3,89.0,0.25,0.193,0.54,0.505,13.2,29.4,0.189,KeyArena at Seattle Center,633516.0,15452.0,2002
574,Boston Celtics,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,2.4,92.5,0.291,0.289,0.52,0.476,12.8,24.1,0.223,FleetCenter,659751.0,16091.0,2002
575,Detroit Pistons,50,32,48,34,2.13,-0.45,1.69,104.8,102.4,2.4,90.0,0.31,0.24,0.54,0.497,14.3,24.4,0.235,The Palace of Auburn Hills,760807.0,18556.0,2002
576,Philadelphia 76ers,43,39,46,36,1.6,-0.33,1.27,102.1,100.3,1.8,88.9,0.327,0.111,0.507,0.452,14.6,31.7,0.255,First Union Center,842976.0,20560.0,2002
577,Orlando Magic,44,38,46,36,1.57,-0.32,1.25,107.0,105.3,1.7,93.2,0.278,0.241,0.533,0.493,12.6,26.3,0.21,TD Waterhouse Centre,621121.0,15149.0,2002
578,Utah Jazz,44,38,44,38,0.89,0.32,1.21,105.6,104.6,1.0,90.3,0.381,0.132,0.529,0.472,15.4,33.5,0.291,Delta Center,766108.0,18686.0,2002
579,Charlotte Hornets,44,38,44,38,0.96,-0.4,0.57,104.3,103.3,1.0,89.7,0.32,0.151,0.513,0.466,13.3,30.6,0.238,Charlotte Coliseum,462738.0,11286.0,2002
580,Indiana Pacers,42,40,42,40,0.27,-0.34,-0.07,104.1,103.8,0.3,91.9,0.328,0.182,0.527,0.477,14.2,27.0,0.253,Conseco Fieldhouse,686537.0,16745.0,2002
581,Milwaukee Bucks,41,41,40,42,-0.22,-0.4,-0.62,106.9,107.1,-0.2,90.2,0.269,0.241,0.544,0.507,13.6,25.6,0.201,Bradley Center,745305.0,18178.0,2002
582,Los Angeles Clippers,39,43,40,42,-0.46,0.38,-0.09,105.5,106.0,-0.5,90.1,0.304,0.172,0.519,0.476,13.8,31.3,0.225,STAPLES Center,740185.0,18053.0,2002
583,Toronto Raptors,42,40,40,42,-0.44,-0.27,-0.71,102.6,103.1,-0.5,88.8,0.255,0.165,0.501,0.463,13.6,31.4,0.189,Air Canada Centre,810160.0,19760.0,2002
584,Phoenix Suns,36,46,39,43,-0.68,0.39,-0.3,103.3,104.0,-0.7,91.4,0.235,0.158,0.51,0.472,13.6,30.1,0.18,America West Arena,668939.0,16316.0,2002
585,Washington Wizards,37,45,37,45,-1.4,-0.17,-1.58,104.8,106.4,-1.6,88.3,0.28,0.118,0.508,0.464,12.5,30.7,0.214,MCI Center,847634.0,20674.0,2002
586,Miami Heat,36,46,36,46,-1.54,-0.31,-1.84,98.5,100.2,-1.7,87.4,0.268,0.141,0.501,0.463,14.6,26.6,0.194,AmericanAirlines Arena,655549.0,15989.0,2002
587,Cleveland Cavaliers,29,53,31,51,-3.33,-0.19,-3.52,104.6,108.2,-3.6,90.3,0.301,0.156,0.524,0.477,13.8,28.9,0.232,Gund Arena,596115.0,14539.0,2002
588,New York Knicks,30,52,29,53,-3.99,-0.16,-4.15,101.5,105.9,-4.4,89.7,0.274,0.206,0.514,0.468,14.0,25.6,0.216,Madison Square Garden (IV),810283.0,19763.0,2002
589,Atlanta Hawks,33,49,29,53,-4.23,-0.18,-4.41,101.8,106.4,-4.6,91.9,0.294,0.181,0.517,0.471,14.6,27.5,0.225,Philips Arena,506110.0,12344.0,2002
590,Houston Rockets,28,54,27,55,-4.89,0.58,-4.31,103.1,108.6,-5.5,88.2,0.286,0.223,0.507,0.465,13.4,29.0,0.211,Compaq Center,481227.0,11737.0,2002
591,Golden State Warriors,21,61,26,56,-5.4,0.61,-4.8,102.8,108.5,-5.7,94.5,0.335,0.142,0.499,0.452,14.7,35.3,0.242,The Arena in Oakland,593182.0,14468.0,2002
592,Denver Nuggets,27,55,24,58,-5.82,0.63,-5.19,101.4,107.8,-6.4,90.4,0.256,0.187,0.495,0.455,13.6,30.6,0.19,Pepsi Center,633846.0,15460.0,2002
593,Memphis Grizzlies,23,59,20,62,-7.44,0.7,-6.74,98.2,106.3,-8.1,91.1,0.288,0.168,0.501,0.462,15.4,27.8,0.204,Pyramid Arena,591030.0,14415.0,2002
594,Chicago Bulls,21,61,18,64,-8.54,0.02,-8.52,98.2,107.6,-9.4,90.5,0.302,0.134,0.499,0.456,14.6,26.6,0.218,United Center,776311.0,18934.0,2002
595,Dallas Mavericks,60,22,62,20,7.78,0.12,7.9,110.7,102.3,8.4,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,American Airlines Center,816429.0,19913.0,2003
596,Sacramento Kings,59,23,59,23,6.5,0.18,6.68,105.9,99.1,6.8,95.4,0.262,0.184,0.535,0.499,13.3,25.6,0.196,ARCO Arena (II),709997.0,17317.0,2003
597,San Antonio Spurs,60,22,57,25,5.41,0.23,5.65,105.6,99.7,5.9,90.0,0.348,0.202,0.541,0.497,15.1,28.8,0.253,SBC Center,735970.0,17950.0,2003
598,New Jersey Nets,49,33,56,26,5.22,-0.8,4.42,103.8,98.1,5.7,91.6,0.333,0.158,0.518,0.468,13.8,28.7,0.252,Continental Airlines Arena,622574.0,15185.0,2003
599,Detroit Pistons,50,32,52,30,3.68,-0.71,2.97,104.1,99.9,4.2,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,The Palace of Auburn Hills,839278.0,20470.0,2003
600,Indiana Pacers,48,34,51,31,3.49,-0.7,2.79,104.6,100.8,3.8,91.6,0.344,0.169,0.522,0.469,13.7,29.0,0.263,Conseco Fieldhouse,670461.0,16353.0,2003
601,Portland Trail Blazers,50,32,49,33,2.61,0.36,2.97,105.5,102.6,2.9,89.4,0.3,0.177,0.531,0.489,14.5,30.2,0.223,Rose Garden Arena,796258.0,19421.0,2003
602,Utah Jazz,47,35,48,34,2.39,0.37,2.76,105.5,102.8,2.7,89.3,0.38,0.104,0.537,0.486,16.0,32.5,0.283,Delta Center,786034.0,19172.0,2003
603,Los Angeles Lakers,50,32,48,34,2.33,0.38,2.71,107.2,104.7,2.5,92.5,0.311,0.199,0.528,0.486,13.3,30.2,0.228,STAPLES Center,777888.0,18973.0,2003
604,Philadelphia 76ers,48,34,48,34,2.3,-0.55,1.76,105.0,102.5,2.5,91.4,0.339,0.119,0.52,0.466,13.7,30.3,0.263,First Union Center,807097.0,19685.0,2003
605,Minnesota Timberwolves,51,31,47,35,2.07,0.39,2.46,106.1,103.8,2.3,91.9,0.268,0.118,0.528,0.488,12.9,28.2,0.206,Target Center,643684.0,15700.0,2003
606,New Orleans Hornets,47,35,47,35,2.11,-0.59,1.52,103.9,101.6,2.3,89.4,0.285,0.161,0.511,0.465,13.9,31.7,0.219,New Orleans Arena,641683.0,15651.0,2003
607,Houston Rockets,43,39,46,36,1.48,0.42,1.89,104.3,102.6,1.7,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,Compaq Center,565166.0,13785.0,2003
608,Phoenix Suns,44,38,44,38,1.13,0.43,1.57,103.7,102.5,1.2,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.211,America West Arena,666559.0,16258.0,2003
609,Orlando Magic,42,40,41,41,0.13,-0.53,-0.39,105.2,105.0,0.2,93.1,0.307,0.235,0.526,0.478,13.3,27.0,0.239,TD Waterhouse Centre,605901.0,14778.0,2003
610,Milwaukee Bucks,42,40,42,40,0.23,-0.48,-0.24,108.8,108.6,0.2,90.4,0.287,0.229,0.543,0.5,12.2,25.6,0.222,Bradley Center,665966.0,16243.0,2003
611,Seattle SuperSonics,40,42,41,41,-0.12,0.49,0.37,103.7,103.9,-0.2,88.0,0.27,0.196,0.512,0.472,12.8,28.1,0.201,KeyArena at Seattle Center,637194.0,15541.0,2003
