,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend.,Attend./G,Year,3PAr_Norm,ORtg_Norm,DRtg_Norm,Pace_Norm,FTr_Norm,TS%_Norm,eFG%_Norm,TOV%_Norm,ORB%_Norm,FT/FGA_Norm,OeFG%_Norm,OTOV%_Norm,DRB%_Norm,OFT/FGA_Norm
37,Seattle SuperSonics,26.8,34,48,37,45,-1.65,-0.2,-1.84,103.2,104.8,-1.6,100.3,0.333,0.016,0.521,0.47,15.7,33.1,0.254,0.468,13.8,66.1,0.232,King County Domed Stadium,675097.0,16877.425,1981,0.6982922201138521,0.9781990521327014,0.9929966218999753,0.9850128095644748,1.0180778944569986,0.9747823964858048,0.9618293442477088,1.0036131183991106,0.9890866571391453,1.0341653389980527,0.9572254335260115,0.8824020016680568,0.9934004181913225,0.9440905874026893
38,Atlanta Hawks,26.8,31,51,33,49,-3.1,0.73,-2.37,104.3,107.3,-3.0,99.4,0.377,0.012,0.537,0.48,16.7,34.1,0.293,0.498,17.3,64.8,0.295,Omni Coliseum,362699.0,9067.475,1981,0.523719165085389,0.9886255924170616,1.0166845184147648,0.9761742100768575,1.1525986973281934,1.0047181322703977,0.9822937983806388,1.0675375208449138,1.0189684292581527,1.192954505222163,1.0185860382392173,1.1061996107867669,0.9738630423418714,1.2004600141542816
39,Cleveland Cavaliers,25.7,28,54,29,53,-4.85,0.7,-4.15,104.3,109.1,-4.8,100.8,0.251,0.033,0.513,0.472,14.2,33.5,0.195,0.507,15.2,66.0,0.251,Coliseum at Richfield,224499.0,5612.475,1981,1.44022770398482,0.9886255924170616,1.033739803905413,0.9899231426131512,0.7673800345606806,0.9598145285935084,0.9659222350742948,0.9077265147304057,1.0010393659867483,0.7939458311205523,1.0369942196531792,0.9719210453155407,0.9918975431259802,1.0214083510261853
40,New Jersey Nets,25.2,24,58,26,56,-6.02,0.87,-5.15,101.0,106.7,-5.7,105.2,0.324,0.019,0.525,0.478,16.6,30.4,0.243,0.506,16.4,69.2,0.281,Rutgers Athletic Center,301900.0,8402.0,1981,0.8292220113851992,0.957345971563981,1.0109994232512154,1.033134073441503,0.9905622756878905,0.982266330431953,0.9782009075540528,1.0611450806003335,0.9084058724178252,0.9893786510886883,1.0349488661627388,1.0486516541562412,1.0399895452169368,1.1434890304317056
41,Utah Jazz,25.3,28,54,26,56,-5.89,-0.1,-5.99,103.4,109.4,-6.0,97.7,0.305,0.024,0.536,0.491,15.5,28.3,0.234,0.492,13.8,66.8,0.268,Salt Palace,307835.0,7695.875,1981,1.047438330170778,0.9800947867298578,1.036582351487188,0.9594790777113579,0.9324737471753289,1.0028471487838606,1.0048046979268617,0.9908282379099499,0.8456541509679097,0.9527349973446628,1.006313917296576,0.8824020016680568,1.0039205436487193,1.0905874026893134
42,Detroit Pistons,24.3,21,61,24,58,-6.32,0.74,-5.58,98.1,104.3,-6.2,101.2,0.334,0.012,0.51,0.464,18.0,33.4,0.242,0.512,18.6,65.9,0.242,Pontiac Silverdome,228348.0,5708.7,1981,0.523719165085389,0.9298578199052132,0.9882590425970174,0.9938514090520923,1.021135185431344,0.9542015781338973,0.9495506717679509,1.150639244024458,0.9980511887748474,0.9853071340060188,1.0472209871053801,1.189324437030859,0.9903946680606378,0.9847841472045292
43,Dallas Mavericks,24.8,15,67,20,62,-8.4,0.07,-8.33,102.4,110.8,-8.4,98.6,0.359,0.024,0.519,0.466,15.2,30.7,0.27,0.516,15.1,65.0,0.245,Reunion Arena,319347.0,7983.675,1981,1.047438330170778,0.9706161137440759,1.04984757353547,0.9683176771989752,1.0975674597899774,0.9710404295127307,0.9536435625945369,0.9716509171762089,0.9173704040535274,1.0993096123207649,1.0554024010671408,0.965526827912149,0.9768687924725562,0.9969922151450813
44,Boston Celtics,27.3,63,19,57,25,6.38,-0.03,6.35,109.8,103.5,6.3,101.5,0.335,0.025,0.545,0.502,14.7,35.8,0.248,0.472,14.6,67.6,0.22,Boston Garden,612711.0,15317.775,1982,0.9663865546218489,1.0272952853598014,0.9683521132489932,1.006206629024611,1.033811887830404,1.0123566467452751,1.0152114657522202,0.9831346321605118,1.0855636123928805,1.0262684418855703,0.9547093483422741,0.9755955839628123,1.0086933956143764,0.9082749955124754
45,Philadelphia 76ers,28.1,58,24,56,26,5.73,0.0,5.74,109.6,103.9,5.7,100.6,0.354,0.02,0.566,0.521,15.5,30.5,0.265,0.48,16.5,65.0,0.261,The Spectrum,498901.0,12472.525,1982,0.773109243697479,1.02542407354676,0.9720945368750763,0.9972845998017327,1.0924459949013818,1.0513648845097718,1.0536358040974239,1.0366385577202675,0.9248516809492419,1.0966174883051458,0.9708908627209567,1.1025566531086577,0.9698974957830544,1.077544426494346
46,Milwaukee Bucks,27.3,55,27,55,27,5.48,-0.1,5.38,107.7,102.3,5.4,100.0,0.332,0.023,0.553,0.509,16.5,35.1,0.25,0.471,15.9,67.3,0.253,MECCA Arena,443288.0,11082.2,1982,0.8890756302521009,1.0076475613228653,0.9571248423707439,0.9913365803198139,1.02455387092446,1.027216927798417,1.029367800932032,1.1035184646699623,1.0643375082399473,1.0345448002878734,0.9526866590449388,1.0624636839047066,1.0042169456338392,1.0445162448393468
